g567_evaluation_uid,g567_dataset_row_id,split,map,map_family,agents,budget_ms,candidate_uid,theta_id,variant_id,labelv54_development_safe,labelv54_positive,labelv54_harmful,labelv54_quality_tie,labelv54_applied_margin,stable_label_supported,measurement_confidence,replicate_group_id,replicate_count,supported_regression_A,supported_regression_B,supported_regression_C,supported_gain_A,supported_gain_B,supported_gain_C,safe_A,safe_B,safe_C,primary_safe_AB,stretch_safe_ABC,quality_safe_A,quality_safe_B,quality_safe_C,positive_A,positive_B,positive_C,joint_positive_AB,joint_positive_ABC,delta_vs_additive,delta_vs_static_flow,delta_vs_g556,actor_success,additive_success,static_flow_success,g556_success,actor_ratio,additive_ratio,static_flow_ratio,g556_ratio,success_gain_vs_additive,success_regression_vs_additive,success_gain_vs_static_flow,success_regression_vs_static_flow,success_gain_vs_g556,success_regression_vs_g556,actor_runtime_ms,additive_runtime_ms,static_flow_runtime_ms,g556_runtime_ms,actor_expanded_nodes,g556_expanded_nodes,actor_low_level_pibt_calls,g556_low_level_pibt_calls,replicate_confidence,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,pareto_safe_AB,labelv54_primary_training_candidate
ef704ff8903e37196b0b3c5236ce020a7032b5eb58f729d6608b98f3efd3e575,g567_stage2a_label_train_00048,LABEL_TRAIN,den312d,game,256,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_922f4bfb22f7,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_922f4bfb22f7,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,False,True,0.043,True,single_run_both_success_or_both_failure,b6015e60fa657d10f49fd9b02a1c9ac50f70366ded37f290c6d99c34710e335a,1,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,0.03746122644000005,0.03889286566000005,0.03292770222000008,True,True,True,True,1.37508947745,1.33762825101,1.33619661179,1.34216177523,False,False,False,False,False,False,1598.092455,1132.33593,1539.734975,1544.957911,2000,2016,508899,512997,single_exact_row,1.2495570182800293,1.1674013137817383,1.258596420288086,0.7254971265792847,0.7612892389297485,1.03944730758667,0.6997624635696411,0.9811668395996094,1.0,0.6729309558868408,0.640241801738739,0.3518797755241394,0.9321292638778687,1.0,10.852783203125,False,False,False,False,False,True,True
a7977c157ccb751fcb324bb36a021c1c75b25769412dcb9e267caa1bd50b05ce,g567_stage2a_label_train_00049,LABEL_TRAIN,den312d,game,256,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_9e304b8bb2c0,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_9e304b8bb2c0,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,True,False,0.043,True,single_run_both_success_or_both_failure,00ed4ed21faccd487825cac8b9173eba9105a1b8003a0cd7be7ca683d0665481,1,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,0.08295086719000011,0.0863809845900001,0.054398763230000036,True,True,True,True,1.39093676023,1.30798589304,1.30455577564,1.336537997,False,False,False,False,False,False,1592.397937,1134.711387,1544.039508,1582.618252,1991,1916,506566,488403,single_exact_row,1.2497471570968628,1.1671271324157715,1.2580660581588745,0.725647509098053,0.7614381313323975,1.0393315553665161,0.6995992660522461,0.9811603426933289,1.0,0.6729645729064941,0.6401813626289368,0.3516295552253723,0.9316397905349731,1.0,10.852290153503418,False,False,False,False,False,False,False
beec0eeb607c02b5b7e9eb8307841ff6a3f08e239a2ce1e33e6dc5ed673c1a6d,g567_stage2a_label_train_00036,LABEL_TRAIN,g567-chambers-48x32-a-v0,chambers,128,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_9a0baa0701ab,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_9a0baa0701ab,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,True,False,0.043,True,single_run_both_success_or_both_failure,32c83a46630c2883c7104d5f1302b16ea652e3e143ffc25ec018d301fd576358,1,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1437224669599999,0.18116740087999994,0.11288546254999998,True,True,True,True,1.72797356828,1.58425110132,1.5468061674,1.61508810573,False,False,False,False,False,False,347.736599,262.743716,345.690682,340.527341,1064,912,140840,117906,single_exact_row,1.249529480934143,1.1678295135498047,1.2639459371566772,0.7243175506591797,0.7606292366981506,1.0396660566329956,0.7031861543655396,0.9812804460525513,1.0,0.6714766621589661,0.6406041383743286,0.35258668661117554,0.929169237613678,1.0,10.843193054199219,False,False,False,False,False,False,False
89115c26cf5c16fd4b09bbdccb5542f3cfa1418e0bb47ae305feb6d810e0f5ba,g567_stage2a_label_train_00045,LABEL_TRAIN,g567-chambers-64x48-a-v2,chambers,128,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_a4b1d814edff,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_a4b1d814edff,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,False,True,0.043,True,single_run_both_success_or_both_failure,2e96bf0ab804fb1ee8bc7109d8d62f4a606ba8ff5d1cae63bfe2777978cc6f40,1,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,-0.04148583099000014,0.008424814909999911,0.022338524379999836,True,True,True,True,1.1056931325,1.14717896349,1.09726831759,1.08335460812,False,False,False,False,False,False,723.036673,523.172643,728.368713,731.426476,1167,1202,147791,152510,single_exact_row,1.252402901649475,1.1663479804992676,1.255540132522583,0.719394326210022,0.7601395845413208,1.036195158958435,0.7022312879562378,0.9811063408851624,1.0,0.670111894607544,0.6347957253456116,0.35400390625,0.9467822909355164,1.0,10.86361312866211,False,False,False,False,False,True,True
d1c507e8e42e816804c368b9b7e7f554fe18fce14238771c97c93daceef18581,g567_stage2a_label_train_00029,LABEL_TRAIN,g567-city-32x32-a-v2,city,64,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_451a37b6f67c,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_451a37b6f67c,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,False,True,0.043,True,single_run_both_success_or_both_failure,873ca8cee447f7376af13bbc25dae964fd395145a9aadabd6cff55132eae2746,1,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,-0.04241552840000007,0.00647016534999989,0.01797268152000009,True,True,True,True,1.30769230769,1.35010783609,1.30122214234,1.28971962617,False,False,False,False,False,False,116.443509,92.475153,115.693965,115.357394,691,696,47225,49427,single_exact_row,1.2528867721557617,1.1657991409301758,1.2550159692764282,0.721109926700592,0.7617852091789246,1.0367475748062134,0.7025561332702637,0.9811489582061768,1.0,0.6701366901397705,0.636950671672821,0.3519607186317444,0.9431860446929932,1.0,10.849396705627441,False,False,False,False,False,True,True
077fdb3e8708eb8dc736ff63e9bcb213c8986ac10c8806f885984f645ae5123b,g567_stage2a_label_train_00063,LABEL_TRAIN,g567-city-64x48-a-v1,city,256,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_15776bb9d739,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_15776bb9d739,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,False,False,0.043,True,single_run_both_success_or_both_failure,395a5ac7ab736c66606d5c271ffc89e4b44d162eff361e4fd8343a66a64f1d86,1,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,-0.07388360891000012,0.004556698340000054,0.0014972008800000491,True,True,True,True,1.18715011066,1.26103371957,1.18259341232,1.18565290978,False,False,False,False,False,False,1545.924903,1021.638763,1410.44406,1382.434281,1244,1243,316894,316615,single_exact_row,1.2512478828430176,1.164676547050476,1.2534799575805664,0.7280206084251404,0.7614454627037048,1.0398039817810059,0.6976195573806763,0.9810056090354919,1.0,0.6726341843605042,0.6391429305076599,0.35036277770996094,0.9252833724021912,1.0,10.849791526794434,False,False,False,False,False,True,True
51b68bd7a772529027cbcf1612c11149ee4848176ffe985039423372e5be65e9,g567_stage2a_label_train_00000,LABEL_TRAIN,g567-connector-24x24-a-v3,connector,32,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_3972e97e1525,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_3972e97e1525,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,True,False,0.043,True,single_run_both_success_or_both_failure,a4be87ad740e06acdaf1b37db4ffabc78d2261b7fc3ff807bf407712193b243b,1,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,0.028571428570000057,0.07619047619000008,0.05238095238000007,True,True,True,True,1.1619047619,1.13333333333,1.08571428571,1.10952380952,False,False,False,False,False,False,20.672146,17.026702,20.719078,20.565418,324,332,9983,10237,single_exact_row,1.253172516822815,1.1730668544769287,1.2546253204345703,0.7283992767333984,0.7655630707740784,1.023882269859314,0.7082098722457886,0.9810206294059753,1.0,0.6790587306022644,0.6428956389427185,0.3404163718223572,0.907459020614624,1.0,10.833842277526855,False,False,False,False,False,False,False
a99d50f6f4b445bff080ef27bfe106e037377dceb82fe0422f24869334ca1b51,g567_stage2a_label_train_00054,LABEL_TRAIN,g567-connector-48x48-a-v3,connector,256,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_2037c7f521c5,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_2037c7f521c5,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,False,True,0.043,True,single_run_both_success_or_both_failure,5eb7ea7e525fb57436e585788ca82d6fc813509ac740de0f051f70adccb1ae93,1,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,nan,nan,nan,False,False,False,False,,,,,False,False,False,False,False,False,36241.055587,35269.139855,36172.360125,35891.171533,815,830,841261,854212,single_exact_row,1.2492281198501587,1.1722251176834106,1.2559387683868408,0.7369191646575928,0.7668494582176208,1.0332441329956055,0.7068797945976257,0.981007993221283,1.0,0.6812500953674316,0.6484781503677368,0.33820220828056335,0.8852761387825012,1.0,10.821219444274902,False,False,False,False,False,True,True
3a62d40d175cb16cb25cbffdb8261d99931b6ad23386998274480d8597a0bd75,g567_stage2a_label_train_00028,LABEL_TRAIN,g567-cross-32x32-a-v2,cross,64,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_535d5122610e,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_535d5122610e,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,True,False,0.043,True,single_run_both_success_or_both_failure,2e5a35c022eb697a5f29abf2320ea73a3e729af62bdb70963a4a8f58cb43987f,1,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,0.09654272668000008,0.09458577952000002,0.09458577952000002,True,True,True,True,1.4168297456,1.32028701892,1.32224396608,1.32224396608,False,False,False,False,False,False,113.918994,93.950718,113.708942,113.195699,736,674,48457,43376,single_exact_row,1.2533177137374878,1.165306568145752,1.2531616687774658,0.7206031680107117,0.7614580988883972,1.035891056060791,0.7024285197257996,0.9810725450515747,1.0,0.6697978377342224,0.6356887817382812,0.3519415855407715,0.9447464942932129,1.0,10.853485107421875,False,False,False,False,False,False,False
484d280d6f39b47146bcc54b4b29c5fda8ebf05b81361d5ed30e3049d016485f,g567_stage2a_label_train_00055,LABEL_TRAIN,g567-cross-32x32-a-v3,cross,256,30000,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_550403e3ae5d,g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_550403e3ae5d,SELECTED_ACTOR_PRIMARY_30S_EXACT,True,False,False,True,0.043,True,single_run_both_success_or_both_failure,c1d75ca5dc3a79a37868420c49a8a6cf355376058b9dca4051a01f2bb5efd95e,1,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,nan,nan,nan,False,False,False,False,,,,,False,False,False,False,False,False,36013.943441,36531.460721,38383.22475,36206.161665,12520,12624,98662333,100197855,single_exact_row,1.251204490661621,1.165611982345581,1.2533001899719238,0.7283424735069275,0.7623913884162903,1.0386239290237427,0.6986023783683777,0.9810062050819397,1.0,0.6736660003662109,0.640231192111969,0.3490545153617859,0.9246264696121216,1.0,10.846710205078125,False,False,False,False,False,True,True
