g538_blind_row_id,context_budget_iteration_key,context_key,role,planned_candidate_id,materialized_candidate_id,materialization_source,raw_solver_result_id,source_round,commit,branch,dirty_state,binary_path,method,method_alias,candidate_id,update_params_fingerprint,map,map_family,agents,seed,budget_ms,ltm_max_iterations,iteration,solution_found,sum_of_loss_ratio,time_to_first_solution,expanded_nodes,high_level_expansions,low_level_pibt_calls,trace_event_count,pibt_failure_audit_count,traffic_before_hash,traffic_after_hash,raw_checkpoint_source,trace_backend,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g538_blind_00000020,maze-32-32-4|50|406|2000|final,maze-32-32-4|50|406|2000,ultra_safe_static_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g538_blind_real_solver_execution,g538_blind_raw_00001727,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b2000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,50,406,2000,2,final,True,1.16334467671,293,186,186,9199,9836,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000021,maze-32-32-4|50|406|2000|0,maze-32-32-4|50|406|2000,residual_selector,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light,new_g538_blind_real_solver_execution,g538_blind_raw_00000015,g538_blind_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light__b2000__i2,repair5g538_random_bridge_c_light,alpha_commit=1|alpha_block=1.25|alpha_wait_spillover=0.65000000000000002|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1.25|alpha_cong_wait_progress=0.65000000000000002|alpha_cong_wait_nonprogress=0.65000000000000002|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=0.97999999999999998|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.29999999999999999|max_flow_shield=0.75,maze-32-32-4,maze,50,406,2000,2,0,True,1.16334467671,,91,91,4499,4874,3,14650fb0739d0383,617174a92f2fde1d,outputs/logs/phase5p5_repair5g538_residual_blind_replay/checkpoints_maze_32_32_4_a50_b2000.jsonl,real_solver_trace,False,False,False,False,False
g538_blind_00000022,maze-32-32-4|50|406|2000|final,maze-32-32-4|50|406|2000,residual_selector,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light,new_g538_blind_real_solver_execution,g538_blind_raw_00001729,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light__b2000__i2,repair5g538_random_bridge_c_light,,maze-32-32-4,maze,50,406,2000,2,final,True,1.16334467671,272,187,187,9249,9928,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000023,maze-32-32-4|100|406|500|final,maze-32-32-4|100|406|500,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g538_blind_real_solver_execution,g538_blind_raw_00001950,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b500__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,100,406,500,2,final,False,,,62,61,6100,7592,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000024,maze-32-32-4|100|406|500|final,maze-32-32-4|100|406|500,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g538_blind_real_solver_execution,g538_blind_raw_00001953,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b500__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,100,406,500,2,final,False,,,62,61,6100,7592,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000025,maze-32-32-4|100|406|500|final,maze-32-32-4|100|406|500,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g538_blind_real_solver_execution,g538_blind_raw_00001951,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b500__i2,repair5g59_high_beta_cap_safe,,maze-32-32-4,maze,100,406,500,2,final,False,,,57,56,5600,7039,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000026,maze-32-32-4|100|406|500|final,maze-32-32-4|100|406|500,family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_g538_blind_real_solver_execution,g538_blind_raw_00001952,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap__b500__i2,repair5g59_low_beta_high_cap,,maze-32-32-4,maze,100,406,500,2,final,False,,,63,62,6200,7697,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000027,maze-32-32-4|100|406|500|final,maze-32-32-4|100|406|500,best_residual_candidate,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light,new_g538_blind_real_solver_execution,g538_blind_raw_00001955,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light__b500__i2,repair5g538_random_bridge_c_light,,maze-32-32-4,maze,100,406,500,2,final,False,,,53,52,5200,6581,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000028,maze-32-32-4|100|406|500|final,maze-32-32-4|100|406|500,ultra_safe_static_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g538_blind_real_solver_execution,g538_blind_raw_00001953,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b500__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,100,406,500,2,final,False,,,62,61,6100,7592,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000029,maze-32-32-4|100|406|500|final,maze-32-32-4|100|406|500,residual_selector,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light,new_g538_blind_real_solver_execution,g538_blind_raw_00001955,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light__b500__i2,repair5g538_random_bridge_c_light,,maze-32-32-4,maze,100,406,500,2,final,False,,,53,52,5200,6581,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000030,maze-32-32-4|100|406|1000|final,maze-32-32-4|100|406|1000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g538_blind_real_solver_execution,g538_blind_raw_00002175,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,100,406,1000,2,final,True,1.35790293278,546,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000031,maze-32-32-4|100|406|1000|final,maze-32-32-4|100|406|1000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g538_blind_real_solver_execution,g538_blind_raw_00002177,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,100,406,1000,2,final,True,1.35790293278,552,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000032,maze-32-32-4|100|406|1000|final,maze-32-32-4|100|406|1000,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g538_blind_real_solver_execution,g538_blind_raw_00002178,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b1000__i2,repair5g59_high_beta_cap_safe,,maze-32-32-4,maze,100,406,1000,2,final,True,1.35790293278,546,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000033,maze-32-32-4|100|406|1000|final,maze-32-32-4|100|406|1000,family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_g538_blind_real_solver_execution,g538_blind_raw_00002176,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap__b1000__i2,repair5g59_low_beta_high_cap,,maze-32-32-4,maze,100,406,1000,2,final,True,1.35790293278,553,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000034,maze-32-32-4|100|406|1000|final,maze-32-32-4|100|406|1000,best_residual_candidate,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light,new_g538_blind_real_solver_execution,g538_blind_raw_00002179,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light__b1000__i2,repair5g538_random_bridge_c_light,,maze-32-32-4,maze,100,406,1000,2,final,True,1.35790293278,531,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000035,maze-32-32-4|100|406|1000|final,maze-32-32-4|100|406|1000,ultra_safe_static_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g538_blind_real_solver_execution,g538_blind_raw_00002177,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,100,406,1000,2,final,True,1.35790293278,552,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000036,maze-32-32-4|100|406|1000|final,maze-32-32-4|100|406|1000,residual_selector,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light,new_g538_blind_real_solver_execution,g538_blind_raw_00002179,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g538_random_bridge_c_light,repair5g538_random_bridge_c_light__b1000__i2,repair5g538_random_bridge_c_light,,maze-32-32-4,maze,100,406,1000,2,final,True,1.35790293278,531,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000037,maze-32-32-4|100|406|2000|final,maze-32-32-4|100|406|2000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g538_blind_real_solver_execution,g538_blind_raw_00002400,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b2000__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,100,406,2000,2,final,True,1.35790293278,566,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
g538_blind_00000038,maze-32-32-4|100|406|2000|final,maze-32-32-4|100|406|2000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g538_blind_real_solver_execution,g538_blind_raw_00002403,g538_blind_real_solver_execution_final_run,f94c7d6,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b2000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,100,406,2000,2,final,True,1.35790293278,606,91,91,8999,10588,,,,,real_solver_trace,False,False,False,False,False
