agents,map,method,method_delta_ratio_vs_ltm,oracle_delta_ratio_vs_ltm,oracle_method,regret_to_oracle,scen,seed
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
50,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
50,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
50,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
50,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-136.scen,136
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-138.scen,138
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-139.scen,139
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-140.scen,140
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.04492971887999997,0.0,always_additive_defer,0.04492971887999997,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-141.scen,141
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.06996381181999989,0.0,always_additive_defer,0.06996381181999989,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-142.scen,142
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-143.scen,143
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-144.scen,144
100,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
100,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-145.scen,145
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-136.scen,136
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-137.scen,137
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-138.scen,138
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-139.scen,139
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-140.scen,140
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-141.scen,141
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-142.scen,142
50,random-32-32-20,always_additive_defer,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-143.scen,143
50,random-32-32-20,laur_disable,0.0,0.0,always_additive_defer,0.0,random-32-32-20-random-143.scen,143
