aaai_ready,agents,candidate_id,candidate_recognized,context_id,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,forbidden_feature_audit_passed,is_best_candidate_in_context,iteration,map,method,normalized_context_key,oracle_gap_vs_static,phase5p5_allowed,phase6_allowed,probe_expanded_nodes,probe_feasible,probe_low_level_pibt_calls,probe_lower_bound,probe_runtime_ms,probe_solution_found,probe_sum_of_loss,probe_sum_of_loss_ratio,resolved_candidate_id,scen,schema_version,seed,short_budget_ms,trace_event_count,traffic_before_hash_full,updateparams_fingerprint,updateparams_hash
False,50,repair5g59_additive_fallback,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,0,0.0943106099436,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,130,True,6450,1951,198.1337,True,2438,1.24961558175,repair5g59_additive_fallback,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,35049bacad216c02
False,50,repair5g59_block_heavy_flow_guard,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.087647360328,0.00666324961558,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,101,True,5000,1951,276.6204,True,2267,1.16196822142,repair5g59_block_heavy_flow_guard,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1|alpha_block=1.5|alpha_wait_spillover=0.5|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1.5|alpha_cong_wait_progress=0.5|alpha_cong_wait_nonprogress=0.5|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,bb2a55cecde4524d
False,50,repair5g59_c_only_f_disabled,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.0399794976935,0.0543311122501,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,107,True,5300,1951,247.5991,True,2360,1.20963608406,repair5g59_c_only_f_disabled,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,6cf6b157bee71acd
False,50,repair5g59_commit_heavy_flow_guard,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.0943106099436,0,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,97,True,4800,1951,261.4277,True,2254,1.15530497181,repair5g59_commit_heavy_flow_guard,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1.5|alpha_block=1|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.5|alpha_cong_commit_nonprogress=1.5|alpha_cong_block=1|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,3cd172c18b79c21
False,50,repair5g59_fast_decay_low_shield,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.058431573552,0.0358790363916,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,101,True,5000,1951,264.6969,True,2324,1.1911840082,repair5g59_fast_decay_low_shield,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.90000000000000002|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.90000000000000002|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.20000000000000001|max_flow_shield=0.5,3f2416d2709cdc46
False,50,repair5g59_flow_decay,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.0943106099436,0,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,100,True,4950,1951,267.7838,True,2254,1.15530497181,repair5g59_flow_decay,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=0.94999999999999996|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,f091bb5344ed5c8f
False,50,repair5g59_high_beta_cap_safe,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.0932854946181,0.00102511532547,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,97,True,4800,1951,263.1315,True,2256,1.15633008713,repair5g59_high_beta_cap_safe,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.59999999999999998|max_flow_shield=0.75,fbcf27bf34de68c
False,50,repair5g59_light_cong_light_flow,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.0625320348539,0.0317785750897,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,104,True,5150,1951,265.5808,True,2316,1.1870835469,repair5g59_light_cong_light_flow,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=0.75|rho_decay=0.97999999999999998|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=0.75|alpha_flow_wait_progress=0|rho_cong_decay=0.97999999999999998|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.25|max_flow_shield=0.5,15be9d4820cb1154
False,50,repair5g59_low_beta_high_cap,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,-0.0871348026653,0.00717580727832,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,97,True,4800,1951,323.1479,True,2268,1.16248077909,repair5g59_low_beta_high_cap,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.20000000000000001|max_flow_shield=1.25,5b1c2a7ba7dd48cb
False,50,repair5g59_slow_decay_high_shield,True,maze-32-32-4|a50|s151|it0|repair5g522_response_surface_budget_1000ms_static_context,0.182983085597,0.277293695541,True,False,0,maze-32-32-4,repair5g522_response_surface_budget_1000ms_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,-0.0251153254741,False,False,153,True,7600,1951,378.2809,True,2795,1.43259866735,repair5g59_slow_decay_high_shield,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,5073,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.97999999999999998|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.97999999999999998|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.5|max_flow_shield=1,15da3e1ec294f75e
