g553_stage0_smoke_row_id,execution_mode,counts_as_new_g546_solver_row,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields
g553_stage0_smoke_00000000,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,random-32-32-20,random,50,493,2000,0,False,False,,,1139,201.2441,1,0,2644,,,False,,True,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,,,,,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000001,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,random-32-32-20,random,50,493,2000,0,False,False,,,1139,360.3897,1,0,2644,,,False,,True,29737bed70c56f0d,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,,,,,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000002,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,random-32-32-20,random,50,493,2000,0,False,False,,,1139,367.4703,1,0,2644,,,False,,True,fbcf27bf34de68c,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.59999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.6,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,,,,,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000003,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000001,repair5g553_theta_553000001,repair5g553_theta_553000001,hand_static_reference,random-32-32-20,random,50,493,2000,0,False,False,,,1139,373.9213,1,0,2644,,,False,,True,29737bed70c56f0d,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,hand_static_reference,,,g553_registry_000001,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000004,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000002,repair5g553_theta_553000002,repair5g553_theta_553000002,tiny_local_perturbation_2pct,random-32-32-20,random,50,493,2000,0,False,False,,,1139,352.9093,1,0,2644,,,False,,True,13455299f63cce65,alpha_commit=1.2730324105299999|alpha_block=1.2769652869699999|alpha_wait_spillover=0.76175082425100005|rho_decay=0.93513182013200002|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.27741463491|alpha_cong_commit_nonprogress=1.2730324105299999|alpha_cong_block=1.2769652869699999|alpha_cong_wait_progress=0.76996507621499999|alpha_cong_wait_nonprogress=0.76175082425100005|alpha_flow_commit_progress=1.01057143307|alpha_flow_wait_progress=0.010501041750999999|rho_cong_decay=0.93513182013200002|rho_flow_decay=0.99291708291699998|lambda_cong=0.98794196794199995|lambda_flow=0|min_edge_cost=1|max_edge_cost=11.120798600800001|goal_projection_mode=flow_shield|flow_shield_beta=0.35768372768399997|max_flow_shield=0.762273799774,14650fb0739d0383,1.27741463491,1.27303241053,1.27696528697,0.769965076215,0.761750824251,1.01057143307,0.010501041751,0.935131820132,0.992917082917,0.987941967942,0,0.357683727684,0.762273799774,1,11.1207986008,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,tiny_local_perturbation_2pct,,,g553_registry_000002,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000005,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000003,repair5g553_theta_553000003,repair5g553_theta_553000003,small_local_perturbation_5pct,random-32-32-20,random,50,493,2000,0,False,False,,,1139,336.4901,1,0,2644,,,False,,True,9bcce9974b978a72,alpha_commit=1.2302270739800001|alpha_block=1.1668867731400001|alpha_wait_spillover=0.72337407337399995|rho_decay=0.96694796944799999|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.27829321579|alpha_cong_commit_nonprogress=1.2302270739800001|alpha_cong_block=1.1668867731400001|alpha_cong_wait_progress=0.80979170041699999|alpha_cong_wait_nonprogress=0.72337407337399995|alpha_flow_commit_progress=1.0249943187399999|alpha_flow_wait_progress=0.019795097920100001|rho_cong_decay=0.96694796944799999|rho_flow_decay=0.98403784653799997|lambda_cong=0.96165107415100004|lambda_flow=0.058796665046700003|min_edge_cost=0.987492199992|max_edge_cost=11.2642498267|goal_projection_mode=flow_shield|flow_shield_beta=0.31126564126599998|max_flow_shield=0.73299495174499996,14650fb0739d0383,1.27829321579,1.23022707398,1.16688677314,0.809791700417,0.723374073374,1.02499431874,0.0197950979201,0.966947969448,0.984037846538,0.961651074151,0.0587966650467,0.311265641266,0.732994951745,0.987492199992,11.2642498267,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,small_local_perturbation_5pct,,,g553_registry_000003,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000006,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000004,repair5g553_theta_553000004,repair5g553_theta_553000004,medium_local_perturbation_10pct,random-32-32-20,random,50,493,2000,0,False,False,,,1139,369.6314,1,0,2644,,,False,,True,7a9888ea0b4fe69f,alpha_commit=1.2021522958999999|alpha_block=1.0898105273100001|alpha_wait_spillover=0.66053872928900004|rho_decay=1|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.17552886303|alpha_cong_commit_nonprogress=1.2021522958999999|alpha_cong_block=1.0898105273100001|alpha_cong_wait_progress=0.64687180312199999|alpha_cong_wait_nonprogress=0.66053872928900004|alpha_flow_commit_progress=1.1023713898700001|alpha_flow_wait_progress=0.10348163473200001|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=0.94365836865800001|lambda_flow=0.067746892746900003|min_edge_cost=1|max_edge_cost=11.329213279199999|goal_projection_mode=flow_shield|flow_shield_beta=0.30717135717100003|max_flow_shield=0.67533714408699996,14650fb0739d0383,1.17552886303,1.2021522959,1.08981052731,0.646871803122,0.660538729289,1.10237138987,0.103481634732,1,1,0.943658368658,0.0677468927469,0.307171357171,0.675337144087,1,11.3292132792,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,medium_local_perturbation_10pct,,,g553_registry_000004,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000007,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000005,repair5g553_theta_553000005,repair5g553_theta_553000005,coordinate_sweep_each_field,random-32-32-20,random,50,493,2000,0,False,False,,,1139,341.5016,1,0,2644,,,False,,True,7e59318054ccc1c1,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,coordinate_sweep_each_field,,,g553_registry_000005,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000008,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000006,repair5g553_theta_553000006,repair5g553_theta_553000006,lambda_flow_lambda_cong_grid,random-32-32-20,random,50,493,2000,0,False,False,,,1139,354.8288,1,0,2644,,,False,,True,72c498ab21035908,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1.0564210564200001|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.26431376431|lambda_flow=0.87848787848800003|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1.05642105642,0.95,1,1.26431376431,0.878487878488,0.35,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,lambda_flow_lambda_cong_grid,,,g553_registry_000006,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000009,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000007,repair5g553_theta_553000007,repair5g553_theta_553000007,flow_shield_beta_cap_grid,random-32-32-20,random,50,493,2000,0,False,False,,,1139,353.6785,1,0,2644,,,False,,True,6bf10685c03569a9,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.29115389115399998|max_flow_shield=1.4359011858999999,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.291153891154,1.4359011859,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,flow_shield_beta_cap_grid,,,g553_registry_000007,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000010,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000008,repair5g553_theta_553000008,repair5g553_theta_553000008,alpha_flow_wait_progress_grid,random-32-32-20,random,50,493,2000,0,False,False,,,1139,368.3947,1,0,2644,,,False,,True,37dccfbad7ef57b1,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.061022561022600001|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0.85701685701700003|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0.0610225610226,0.95,1,1,0.857016857017,0.35,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,alpha_flow_wait_progress_grid,,,g553_registry_000008,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000011,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000009,repair5g553_theta_553000009,repair5g553_theta_553000009,alpha_cong_commit_nonprogress_grid,random-32-32-20,random,50,493,2000,0,False,False,,,1139,375.343,1,0,2644,,,False,,True,57b25a0996843bd0,alpha_commit=1.2976295476299999|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=0.57351957352000005|alpha_cong_commit_nonprogress=1.2976295476299999|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,0.57351957352,1.29762954763,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,alpha_cong_commit_nonprogress_grid,,,g553_registry_000009,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000012,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000010,repair5g553_theta_553000010,repair5g553_theta_553000010,edge_cost_clamp_grid,random-32-32-20,random,50,493,2000,0,False,False,,,1139,354.4736,1,0,2644,,,False,,True,f4a5e8beba5b894,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.89669114669100003|max_edge_cost=9.8310858310900002|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.896691146691,9.83108583109,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,edge_cost_clamp_grid,,,g553_registry_000010,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000013,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000011,repair5g553_theta_553000011,repair5g553_theta_553000011,rho_decay_grid,random-32-32-20,random,50,493,2000,0,False,False,,,1139,354.4813,1,0,2644,,,False,,True,7893143e5b39e0ac,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.909226909227|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.909226909227|rho_flow_decay=0.91927621927600001|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,0,0.909226909227,0.919276219276,1,0,0.35,0.75,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,rho_decay_grid,,,g553_registry_000011,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000014,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000012,repair5g553_theta_553000012,repair5g553_theta_553000012,sobol_local_global_static,random-32-32-20,random,50,493,2000,0,False,False,,,1139,354.1204,1,0,2644,,,False,,True,4fc5f1537c0823fb,alpha_commit=1.4396911271899999|alpha_block=0.97704741454699995|alpha_wait_spillover=0.95811764561799995|rho_decay=0.94340761840800003|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=0.93105380605400001|alpha_cong_commit_nonprogress=1.4396911271899999|alpha_cong_block=0.97704741454699995|alpha_cong_wait_progress=0.95200988950999998|alpha_cong_wait_nonprogress=0.95811764561799995|alpha_flow_commit_progress=1.06178468678|alpha_flow_wait_progress=0.141571079071|rho_cong_decay=0.94340761840800003|rho_flow_decay=0.98787958787999997|lambda_cong=1.13214788215|lambda_flow=0.27289302289299999|min_edge_cost=0.93953981454000002|max_edge_cost=11.6483876484|goal_projection_mode=flow_shield|flow_shield_beta=0.42112027112|max_flow_shield=1.0054730679699999,14650fb0739d0383,0.931053806054,1.43969112719,0.977047414547,0.95200988951,0.958117645618,1.06178468678,0.141571079071,0.943407618408,0.98787958788,1.13214788215,0.272893022893,0.42112027112,1.00547306797,0.93953981454,11.6483876484,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,sobol_local_global_static,,,g553_registry_000012,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
g553_stage0_smoke_00000015,new_g553_fixed_global_staticflow_stage0_smoke_solver_row,True,True,random-32-32-20|50|493|25|0|14650fb0739d0383,random-32-32-20|a50|s493|it0|g553_stage0_smoke_random_32_32_20_a50_s493_hstage0_short25_t050_i2_b2000,generated_theta::repair5g553_theta_553000013,repair5g553_theta_553000013,repair5g553_theta_553000013,cma_es_or_ranked_search_candidates,random-32-32-20,random,50,493,2000,0,False,False,,,1139,354.8168,1,0,2644,,,False,,True,bfb4e5d5445b3b48,alpha_commit=1.5404071904100001|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.5404071904100001|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.84086289086300003|lambda_flow=0.17878322878299999|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.51305766305800005|max_flow_shield=0.74828204828199996,14650fb0739d0383,1.25,1.54040719041,1.25,0.75,0.75,1,0,0.95,1,0.840862890863,0.178783228783,0.513057663058,0.748282048282,1,11,1,0,0,0,1,0,50,25,0,2644,52.88,0,1,0,0,0.02,0.5,0.2,0.2,0.45,False,False,False,False,False,True,True,,,,stage0_short25_t050_i2,2000,25,0.5,2,480_499,cma_es_or_ranked_search_candidates,,,g553_registry_000013,,,random-32-32-20|50|493|2000|stage0_short25_t050_i2,True,
