example_id,context_key,context_no_iteration,map,map_family,agents,seed,budget_ms,iteration,candidate_id,candidate_family,label_source,outcome_class,quality_delta,lexicographic_score,success_regression,safe_gain,high_margin,additive_solution_found,candidate_solution_found,goal_progress_aggregate_available,pre_update_cf_event_aggregates_available,param_candidate_index,param_alpha_cong_committed,param_alpha_cong_blocked,param_alpha_flow_progress,param_alpha_wait_or_nonprogress,param_rho_cong,param_rho_flow,param_flow_shield_beta,param_max_flow_shield,param_c_only,param_min_edge_cost,param_max_edge_cost,param_existing_project_owned_alias,param_new_g533_adapter_added,param_phase5p5_allowed,param_phase6_allowed,param_runtime_claim_allowed,param_learned_runtime_policy_validated,param_aaai_ready,param_new_g534_adapter_added,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g536_safe_opp_00000000,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000001,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000002,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000003,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000004,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000005,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000006,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000007,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000008,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000009,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000010,maze-32-32-4|50|146|500|0,maze-32-32-4|50|146|500,maze-32-32-4,maze,50,146,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000011,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000012,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000013,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000014,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000015,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000016,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000017,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000018,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000019,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
g536_safe_opp_00000020,maze-32-32-4|50|147|500|0,maze-32-32-4|50|147|500,maze-32-32-4,maze,50,147,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,D_safe_equal,0,-0,False,False,False,True,True,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False
