candidate_id,paired_groups,better_count,equal_count,worse_count,mean_delta_ratio,median_delta_ratio,bootstrap_ci_low,bootstrap_ci_high,success_regression_count,ttfs_regression_count,expanded_node_regression_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g59_static_flow_shield,186,19,167,0,-0.00923036243737,0,-0.013901548925,-0.00455917594972,17,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,187,15,166,6,-0.00151434874128,0,-0.00311581161005,8.71141274872e-05,14,0,0,False,False,False,False,False
repair5g59_light_cong_light_flow,182,18,163,1,-0.00460971602703,0,-0.00704122604813,-0.00217820600594,16,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,183,18,164,1,-0.00964647790153,0,-0.014633948544,-0.00465900725911,17,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,183,18,165,0,-0.0090180468341,0,-0.0135446436332,-0.00449145003502,18,0,0,False,False,False,False,False
repair5g59_wait_conservative,184,20,164,0,-0.0101933943383,0,-0.0151717230864,-0.0052150655901,15,0,0,False,False,False,False,False
repair5g59_wait_aggressive,183,18,165,0,-0.00920156528443,0,-0.0138754439072,-0.00452768666169,15,0,0,False,False,False,False,False
repair5g59_flow_decay,181,20,161,0,-0.010005941085,0,-0.0148861677421,-0.00512571442795,13,0,0,False,False,False,False,False
repair5g59_high_beta_cap_safe,184,19,165,0,-0.0104519130793,0,-0.0156844210798,-0.00521940507879,18,0,0,False,False,False,False,False
repair5g59_low_beta_high_cap,183,18,164,1,-0.00952033131978,0,-0.0143376500628,-0.00470301257681,15,0,0,False,False,False,False,False
