candidate_id,context_id,map,map_family,agents,seed,budget_ms,fresh_seed_block,materialized_method,proposal_mechanism,sampling_policy,risk_any_regression,utility_lcb_proxy,risk_gate_passed,generator_action,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g546_generated_theta_00000000,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c0p8_b0p51_f0p62_w1p12_dc0p91_df0p98_beta0p65_max0p83_c0,G1_supervised_theta,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,0.800916800917,0.834112834113,0.508104258104,1.19305619306,1.12299362299,0.621435621436,0.788950788951,0.91001001001,0.976289276289,1.35936085936,0.22536022536,0.653231053231,0.827116827117,0.439474939475,9.49231749232,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000001,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c1p25_b1p62_f0p9_w1p51_dc0p97_df0p93_beta0p53_max1p05_c0,G2_conditional_topk,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,1.24633474633,0.54186004186,1.6213048713,1.11726736727,1.51198226198,0.900474900475,1.03248228248,0.96631006631,0.932817332817,0.702447202447,1.27949377949,0.534310934311,1.04838079838,0.701432201432,11.6683796684,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000002,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c0p44_b2p19_f1p34_w1p02_dc0p97_df0p95_beta0p69_max0p95_c0,G3_surrogate_guided_cem,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,0.438762438762,1.23017948018,2.18963018963,0.638510638511,1.02137102137,1.34132984133,0.0546450546451,0.968318868319,0.954006954007,0.674857174857,0.63825963826,0.694143094143,0.953808203808,0.691543441543,8.54481654482,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000003,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c0p48_b1p95_f0p53_w0p49_dc0p94_df0p99_beta0p24_max1p05_c0,G1_supervised_theta,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,0.482845982846,1.67084992085,1.94854819855,1.08985858986,0.492376992377,0.5324000324,1.05551230551,0.942099442099,0.994686894687,0.86637036637,1.25236925237,0.239966639967,1.04715204715,0.621456621457,9.59079359079,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000004,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c0p36_b1p55_f0p28_w1p2_dc0p98_df0p92_beta0p62_max1p07_c0,G2_conditional_topk,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,0.3595998596,1.33066833067,1.55303555304,0.129723879724,1.19921669922,0.284166284166,1.12698737699,0.975460575461,0.921650621651,1.37511887512,0.929696429696,0.620241420241,1.06792581793,0.498216498216,8.05436405436,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000005,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c0p21_b1p04_f0p7_w1p68_dc0p95_df0p93_beta0p69_max0p89_c1,G3_surrogate_guided_cem,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,0.207082707083,0.97808047808,1.03521878522,0.517946767947,1.68335468335,0.704046704047,0.646976896977,0.95470975471,0.932451632452,0.656997156997,0.019989019989,0.689077489077,0.886519386519,0.661024411024,10.8176908177,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000006,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c1p02_b1p78_f0p44_w0p85_dc0p96_df1p00_beta0p02_max1p2_c0,G1_supervised_theta,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,1.01870801871,0.823775323775,1.78426153426,1.02594227594,0.847842597843,0.443799443799,0.724465724466,0.962299162299,0.996815996816,1.4736009736,0.971693471693,0.0197112197112,1.19905344905,0.763775263775,9.45807745808,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000007,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c0p39_b0p74_f0p44_w0p25_dc0p96_df0p96_beta0p41_max0p89_c1,G2_conditional_topk,broad_sobol_lhs,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,0.388480888481,0.953835453835,0.744800744801,1.06577856578,0.247821247821,0.440734940735,0.150971400971,0.962547962548,0.956428756429,1.28864978865,0.049608049608,0.408766808767,0.887855637856,0.582008082008,8.15384815385,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000008,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c1p1_b1p3_f0p98_w0p67_dc0p94_df0p99_beta0p31_max0p86_c0,G3_surrogate_guided_cem,local_static_flow_perturb,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,1.10324243324,1.26045456045,1.30216258216,0.89510999511,0.665693105693,0.976825156825,0.928781578782,0.938586008586,0.990877650878,0.880893040893,1.07017433017,0.310914808915,0.857471957472,1,11.0356385956,1,0,0,False,False,False,False,False
repair5g546_generated_theta_00000009,random-32-32-20|a100|s486|b500,random-32-32-20,random,100,486,500,480_499,repair5g518_grid_c1p14_b1p41_f1p04_w0p68_dc0p95_df1p00_beta0p28_max0p6_c0,G1_supervised_theta,local_static_flow_perturb,1,0,False,ABSTAIN_TO_FIXED_STATIC_FLOW,1.14032283032,1.10839190839,1.40593418593,0.68692958693,0.676208236208,1.04348426348,1.02250527251,0.952004638005,1,0.894113694114,0.868965808966,0.277551511552,0.603984603985,1,10.9091575092,1,0,0,False,False,False,False,False
