g537_replay_row_id,context_budget_iteration_key,context_key,role,planned_candidate_id,materialized_candidate_id,materialization_source,raw_solver_result_id,source_round,commit,branch,dirty_state,binary_path,method,method_alias,candidate_id,update_params_fingerprint,map,map_family,agents,seed,budget_ms,ltm_max_iterations,iteration,solution_found,sum_of_loss_ratio,time_to_first_solution,expanded_nodes,high_level_expansions,low_level_pibt_calls,trace_event_count,pibt_failure_audit_count,traffic_before_hash,traffic_after_hash,raw_checkpoint_source,trace_backend,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g537_blind_replay_00000000,maze-32-32-4|50|286|1000|0,maze-32-32-4|50|286|1000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g537_real_solver_execution,g537_blind_raw_00000112,g537_blind_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,maze-32-32-4,maze,50,286,1000,2,0,True,1.17498764212,,97,97,4800,5189,0,14650fb0739d0383,ab0aa260206d82f,outputs/logs/phase5p5_repair5g537_static_relative_blind_replay/checkpoints_maze_32_32_4_a50_b1000.jsonl,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000001,maze-32-32-4|50|286|1000|final,maze-32-32-4|50|286|1000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g537_real_solver_execution,g537_blind_raw_00002548,g537_blind_real_solver_execution_final_run,c755bbf,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,50,286,1000,2,final,True,1.17498764212,297,97,97,4800,5189,,,,,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000002,maze-32-32-4|50|286|1000|0,maze-32-32-4|50|286|1000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g537_real_solver_execution,g537_blind_raw_00000113,g537_blind_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,maze-32-32-4,maze,50,286,1000,2,0,True,1.17498764212,,97,97,4800,5189,0,14650fb0739d0383,eee4a2ec6b85e1bb,outputs/logs/phase5p5_repair5g537_static_relative_blind_replay/checkpoints_maze_32_32_4_a50_b1000.jsonl,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000003,maze-32-32-4|50|286|1000|final,maze-32-32-4|50|286|1000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g537_real_solver_execution,g537_blind_raw_00002549,g537_blind_real_solver_execution_final_run,c755bbf,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,50,286,1000,2,final,True,1.17498764212,272,97,97,4800,5189,,,,,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000004,maze-32-32-4|50|286|1000|0,maze-32-32-4|50|286|1000,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g537_real_solver_execution,g537_blind_raw_00000114,g537_blind_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b1000__i2,repair5g59_high_beta_cap_safe,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.59999999999999998|max_flow_shield=0.75,maze-32-32-4,maze,50,286,1000,2,0,True,1.17498764212,,97,97,4800,5189,0,14650fb0739d0383,eee4a2ec6b85e1bb,outputs/logs/phase5p5_repair5g537_static_relative_blind_replay/checkpoints_maze_32_32_4_a50_b1000.jsonl,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000005,maze-32-32-4|50|286|1000|final,maze-32-32-4|50|286|1000,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g537_real_solver_execution,g537_blind_raw_00002550,g537_blind_real_solver_execution_final_run,c755bbf,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b1000__i2,repair5g59_high_beta_cap_safe,,maze-32-32-4,maze,50,286,1000,2,final,True,1.17498764212,289,97,97,4800,5189,,,,,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000006,maze-32-32-4|50|286|1000|0,maze-32-32-4|50|286|1000,best_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_g537_real_solver_execution,g537_blind_raw_00000115,g537_blind_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap__b1000__i2,repair5g59_low_beta_high_cap,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.20000000000000001|max_flow_shield=1.25,maze-32-32-4,maze,50,286,1000,2,0,True,1.17498764212,,97,97,4800,5189,0,14650fb0739d0383,eee4a2ec6b85e1bb,outputs/logs/phase5p5_repair5g537_static_relative_blind_replay/checkpoints_maze_32_32_4_a50_b1000.jsonl,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000007,maze-32-32-4|50|286|1000|final,maze-32-32-4|50|286|1000,best_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_g537_real_solver_execution,g537_blind_raw_00002551,g537_blind_real_solver_execution_final_run,c755bbf,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap__b1000__i2,repair5g59_low_beta_high_cap,,maze-32-32-4,maze,50,286,1000,2,final,True,1.17498764212,265,97,97,4800,5189,,,,,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000008,maze-32-32-4|50|286|1000|0,maze-32-32-4|50|286|1000,G5.36_patched_selector_or_run_level_equivalent,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g537_real_solver_execution,g537_blind_raw_00000113,g537_blind_real_solver_execution,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,maze-32-32-4,maze,50,286,1000,2,0,True,1.17498764212,,97,97,4800,5189,0,14650fb0739d0383,eee4a2ec6b85e1bb,outputs/logs/phase5p5_repair5g537_static_relative_blind_replay/checkpoints_maze_32_32_4_a50_b1000.jsonl,real_solver_trace,False,False,False,False,False
g537_blind_replay_00000009,maze-32-32-4|50|286|1000|final,maze-32-32-4|50|286|1000,G5.36_patched_selector_or_run_level_equivalent,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g537_real_solver_execution,g537_blind_raw_00002549,g537_blind_real_solver_execution_final_run,c755bbf,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,50,286,1000,2,final,True,1.17498764212,272,97,97,4800,5189,,,,,real_solver_trace,False,False,False,False,False
