candidate_id,theta_family,candidate_rows,paired_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,both_success_quality_delta_median_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,global_fixed_support_gate_passed,stage1_validation_ready,not_ready_reason,source_rounds,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g550_theta_550000006,safe_expert_mixture_with_abstention,200,200,0,4,0.02,155,-0.0269682956243,-0.02424749163,125,28,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:200,2.12141655717,1.25,0.972530304939,1.25,0.75,0.75,1,1,0.95,1,0.567225865548,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000005,safe_expert_mixture_with_abstention,200,200,0,4,0.02,154,-0.0227469364649,-0.02142121224,124,30,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:200,1.93091353817,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000004,safe_expert_mixture_with_abstention,200,200,0,4,0.02,154,-0.000802996415286,-0.00293342865,84,69,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:200,1.54155449275,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000062,safe_expert_mixture_with_abstention,199,199,0,2,0.0100502512563,154,-0.0287088283298,-0.032652391415,129,25,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:199,1.98879199882,1.25,1.4875,1.25,0.75,0.75,1,0.700657335496,0.95,1,0.78,0.884336695637,0.4095,0.87,0.93,10.34,1,0,0,False,False,False,False,False
repair5g550_theta_550000115,safe_expert_mixture_with_abstention,199,199,0,4,0.0201005025126,147,-0.0198681880039,-0.02339181287,115,32,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:199,2.11834440145,1.25,1.4125,1.25,0.75,0.75,1,0.81,0.95,1,1.05,0.83,0.329,0.915,0.68394829434,11.6294351756,1,0,0,False,False,False,False,False
repair5g550_theta_550000077,safe_expert_mixture_with_abstention,199,199,0,4,0.0201005025126,151,-0.0177968950832,-0.01740644038,108,42,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:199,2.53242536249,1.25,1.3875,1.25,0.75,0.75,1,0.93,0.95,1,0.95,0.91,0.322,0.885,0.734283287597,8.90212101617,1,0,0,False,False,False,False,False
repair5g550_theta_550000076,safe_expert_mixture_with_abstention,199,199,0,5,0.0251256281407,150,-0.0169951130913,-0.0226117149425,113,35,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:199,2.66152660394,1.25,1.475,1.25,0.75,0.75,1,0.8,0.95,1,1.12,1.11,0.4095,0.87,0.747053431729,9.10444194836,1,0,0,False,False,False,False,False
repair5g550_theta_550000121,safe_expert_mixture_with_abstention,199,199,0,4,0.0201005025126,147,-0.016972547699,-0.01549413735,112,34,15,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:199,1.93168477767,1.25,1.1625,1.25,0.75,0.75,1,0.94,0.95,1,0.92,0.92,0.3815,0.7875,0.773436856217,10.8204309895,1,0,0,False,False,False,False,False
repair5g550_theta_550000082,safe_expert_mixture_with_abstention,199,199,0,3,0.0150753768844,152,-0.0160323562102,-0.017250141165,113,37,16,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:199,2.60102510182,1.25,1.2,1.25,0.75,0.75,1,1.14,0.95,1,0.81,0.88,0.322,0.795,0.574656485946,11.936934999,1,0,0,False,False,False,False,False
repair5g550_theta_550000090,safe_expert_mixture_with_abstention,199,199,0,4,0.0201005025126,151,-0.0139006955548,-0.01440144014,110,41,16,5,1,True,True,True,False,False,insufficient_global_support,g550_generated_targeted:199,2.80877539728,1.25,1.025,1.25,0.75,0.75,1,1.21,0.95,1,0.91,0.95,0.392,0.81,0.708742999333,9.20560241445,1,0,0,False,False,False,False,False
