g550_targeted_probe_row_id,execution_mode,counts_as_new_g546_solver_row,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields,counts_as_new_g550_solver_row,g550_stage
g550_targeted_probe_00000000,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,random-32-32-20,random,50,1824,2000,0,True,True,1.20211827008,1362,1133,412.4023,51,2500,2857,0,0.0282436010591,False,-0.0397175639894,True,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,additive_ltm,,,,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000001,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,random-32-32-20,random,50,1824,2000,0,True,True,1.17387466902,1330,1133,576.468,51,2500,2857,-0.0282436010591,0,False,-0.0397175639894,True,29737bed70c56f0d,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,static_flow_shield,,,,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000002,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,random-32-32-20,random,50,1824,2000,0,True,True,1.16593115622,1321,1133,499.1482,51,2500,2857,-0.036187113857,-0.00794351279788,False,-0.0397175639894,True,fbcf27bf34de68c,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.59999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,frozen_family_static_goal_aware,,,,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000003,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000072,repair5g550_theta_550000072,repair5g550_theta_550000072,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.16946160635,1325,1133,399.8681,51,2500,2857,-0.0326566637246,-0.00441306266549,False,-0.0397175639894,True,aa744d8c04b89428,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=1|min_edge_cost=0.51582421835199999|max_edge_cost=9.3461573076899995|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.515824218352,9.34615730769,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000071,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000004,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000073,repair5g550_theta_550000073,repair5g550_theta_550000073,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.16946160635,1325,1133,399.6652,51,2500,2857,-0.0326566637246,-0.00441306266549,False,-0.0397175639894,True,8c3dab316bc1d817,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=1|min_edge_cost=0.81152237695499996|max_edge_cost=10.2541874916|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.811522376955,10.2541874916,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000072,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000005,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000074,repair5g550_theta_550000074,repair5g550_theta_550000074,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.16946160635,1325,1133,480.1831,51,2500,2857,-0.0326566637246,-0.00441306266549,False,-0.0397175639894,True,e273c43f09766657,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=1|min_edge_cost=0.43029438941100001|max_edge_cost=11.9625920748|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.430294389411,11.9625920748,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000073,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000006,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000075,repair5g550_theta_550000075,repair5g550_theta_550000075,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.16946160635,1325,1133,436.0738,51,2500,2857,-0.0326566637246,-0.00441306266549,False,-0.0397175639894,True,7906456113685ae6,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=1|min_edge_cost=0.68327038345900004|max_edge_cost=11.945600108800001|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.683270383459,11.9456001088,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000074,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000007,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000076,repair5g550_theta_550000076,repair5g550_theta_550000076,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.14916151809,1302,1133,430.3397,51,2500,2857,-0.0529567519859,-0.0247131509267,False,-0.0397175639894,True,b27be8f19dc8d955,alpha_commit=1.4750000000000001|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.4750000000000001|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.80000000000000004|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.1200000000000001|lambda_flow=1.1100000000000001|min_edge_cost=0.74705343172899996|max_edge_cost=9.1044419483599999|goal_projection_mode=flow_shield|flow_shield_beta=0.40949999999999998|max_flow_shield=0.87,14650fb0739d0383,1.25,1.475,1.25,0.75,0.75,1,0.8,0.95,1,1.12,1.11,0.4095,0.87,0.747053431729,9.10444194836,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000075,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000008,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000077,repair5g550_theta_550000077,repair5g550_theta_550000077,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.15533980583,1309,1133,495.91,51,2500,2857,-0.0467784642542,-0.0185348631951,False,-0.0397175639894,True,fc4eee959893ab75,alpha_commit=1.3875|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.3875|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.93000000000000005|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.94999999999999996|lambda_flow=0.91000000000000003|min_edge_cost=0.73428328759700001|max_edge_cost=8.9021210161699997|goal_projection_mode=flow_shield|flow_shield_beta=0.32200000000000001|max_flow_shield=0.88500000000000001,14650fb0739d0383,1.25,1.3875,1.25,0.75,0.75,1,0.93,0.95,1,0.95,0.91,0.322,0.885,0.734283287597,8.90212101617,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000076,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000009,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000078,repair5g550_theta_550000078,repair5g550_theta_550000078,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.15445719329,1308,1133,453.3839,51,2500,2857,-0.0476610767873,-0.0194174757282,False,-0.0397175639894,True,5354e973dad16b97,alpha_commit=1.4375|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.4375|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.88|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.0800000000000001|lambda_flow=0.88|min_edge_cost=0.75982357586100002|max_edge_cost=8.6998000839900005|goal_projection_mode=flow_shield|flow_shield_beta=0.38500000000000001|max_flow_shield=0.58499999999999996,14650fb0739d0383,1.25,1.4375,1.25,0.75,0.75,1,0.88,0.95,1,1.08,0.88,0.385,0.585,0.759823575861,8.69980008399,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000077,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000010,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000079,repair5g550_theta_550000079,repair5g550_theta_550000079,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.17387466902,1330,1133,420.523,51,2500,2857,-0.0282436010591,0,False,-0.0397175639894,True,275038cde5a5ad6d,alpha_commit=1.4750000000000001|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.4750000000000001|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1.1899999999999999|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.89000000000000001|lambda_flow=0.91000000000000003|min_edge_cost=0.72151314346499995|max_edge_cost=8.9021210161699997|goal_projection_mode=flow_shield|flow_shield_beta=0.32900000000000001|max_flow_shield=0.87749999999999995,14650fb0739d0383,1.25,1.475,1.25,0.75,0.75,1,1.19,0.95,1,0.89,0.91,0.329,0.8775,0.721513143465,8.90212101617,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000078,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000011,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000080,repair5g550_theta_550000080,repair5g550_theta_550000080,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.13415710503,1285,1133,470.0764,51,2500,2857,-0.0679611650485,-0.0397175639894,True,-0.0397175639894,True,9c1c8dfe75ed5449,alpha_commit=1.45|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.45|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.82999999999999996|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.82999999999999996|lambda_flow=1.1100000000000001|min_edge_cost=0.68320271106899999|max_edge_cost=10.925330338|goal_projection_mode=flow_shield|flow_shield_beta=0.39200000000000002|max_flow_shield=0.87,14650fb0739d0383,1.25,1.45,1.25,0.75,0.75,1,0.83,0.95,1,0.83,1.11,0.392,0.87,0.683202711069,10.925330338,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000079,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000012,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000081,repair5g550_theta_550000081,repair5g550_theta_550000081,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.18358340688,1341,1133,432.1655,51,2500,2857,-0.0185348631951,0.00970873786408,False,-0.0397175639894,True,e15df4b29c36aa77,alpha_commit=0.98750000000000004|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=0.98750000000000004|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.95999999999999996|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.21|lambda_flow=1.1599999999999999|min_edge_cost=0.56827141388000002|max_edge_cost=12|goal_projection_mode=flow_shield|flow_shield_beta=0.29749999999999999|max_flow_shield=0.87,14650fb0739d0383,1.25,0.9875,1.25,0.75,0.75,1,0.96,0.95,1,1.21,1.16,0.2975,0.87,0.56827141388,12,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000080,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000013,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1824|2000|0|14650fb0739d0383,random-32-32-20|a50|s1824|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1824_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000082,repair5g550_theta_550000082,repair5g550_theta_550000082,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1824,2000,0,True,True,1.15798764342,1312,1133,499.6446,51,2500,2857,-0.0441306266549,-0.0158870255958,False,-0.0397175639894,True,4ad0f6bbddf0bd43,alpha_commit=1.2|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.2|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1.1399999999999999|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.81000000000000005|lambda_flow=0.88|min_edge_cost=0.57465648594600005|max_edge_cost=11.936934999|goal_projection_mode=flow_shield|flow_shield_beta=0.32200000000000001|max_flow_shield=0.79500000000000004,14650fb0739d0383,1.25,1.2,1.25,0.75,0.75,1,1.14,0.95,1,0.81,0.88,0.322,0.795,0.574656485946,11.936934999,1,0,0,0,1,0,50,2000,0,2857,57.14,0,51,0,2500,1.02,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000081,,,random-32-32-20|50|1824|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
