example_id,context_key,context_no_iteration,map,map_family,agents,seed,budget_ms,iteration,candidate_id,candidate_family,label_source,outcome_class,quality_delta,lexicographic_score,success_regression,safe_gain,high_margin,additive_solution_found,candidate_solution_found,goal_progress_aggregate_available,pre_update_cf_event_aggregates_available,param_candidate_index,param_alpha_cong_committed,param_alpha_cong_blocked,param_alpha_flow_progress,param_alpha_wait_or_nonprogress,param_rho_cong,param_rho_flow,param_flow_shield_beta,param_max_flow_shield,param_c_only,param_min_edge_cost,param_max_edge_cost,param_existing_project_owned_alias,param_new_g533_adapter_added,param_phase5p5_allowed,param_phase6_allowed,param_runtime_claim_allowed,param_learned_runtime_policy_validated,param_aaai_ready,param_new_g534_adapter_added,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,hard_negative_source
g536_safe_opp_00000120,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,maze-32-32-4,maze,100,146,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000121,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False,
g536_safe_opp_00000122,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000123,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000124,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000125,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000126,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000127,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000128,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000129,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000130,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000131,maze-32-32-4|100|147|500|0,maze-32-32-4|100|147|500,maze-32-32-4,maze,100,147,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000132,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False,
g536_safe_opp_00000133,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000134,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000135,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000136,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000137,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000138,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000139,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000140,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000141,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000142,maze-32-32-4|100|148|500|0,maze-32-32-4|100|148|500,maze-32-32-4,maze,100,148,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000143,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False,
g536_safe_opp_00000144,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000145,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000146,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000147,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000148,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000149,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000150,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000151,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000152,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000153,maze-32-32-4|100|149|500|0,maze-32-32-4|100|149|500,maze-32-32-4,maze,100,149,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000154,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False,
g536_safe_opp_00000155,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000156,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000157,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000158,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_block_heavy_flow_guard,block_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,4,1,1.5,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000159,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_commit_heavy_flow_guard,commit_heavy,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,5,1.5,1,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000160,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_wait_conservative,wait_conservative,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,6,1.25,1.25,1,0.5,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000161,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_wait_aggressive,wait_aggressive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,7,1.25,1.25,1,1,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000162,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_flow_decay,flow_decay,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,8,1.25,1.25,1,0.75,0.95,0.95,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000163,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_high_beta_cap_safe,high_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,9,1.25,1.25,1,0.75,0.95,1,0.6,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000164,maze-32-32-4|100|150|500|0,maze-32-32-4|100|150|500,maze-32-32-4,maze,100,150,500,0,repair5g59_low_beta_high_cap,low_beta,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,10,1.25,1.25,1,0.75,0.95,1,0.2,1.25,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000165,maze-32-32-4|100|151|500|0,maze-32-32-4|100|151|500,maze-32-32-4,maze,100,151,500,0,repair5g59_additive_fallback,additive,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,0,1,1,0,1,1,1,0,0,True,0.25,10,True,False,False,False,False,False,False,False,False,False,False,False,False,
g536_safe_opp_00000166,maze-32-32-4|100|151|500|0,maze-32-32-4|100|151|500,maze-32-32-4,maze,100,151,500,0,repair5g59_static_flow_shield,static_flow_shield,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,1,1.25,1.25,1,0.75,0.95,1,0.35,0.75,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000167,maze-32-32-4|100|151|500|0,maze-32-32-4|100|151|500,maze-32-32-4,maze,100,151,500,0,repair5g59_c_only_f_disabled,c_only,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,2,1.25,1.25,0,0.75,0.95,1,0,0,True,0.25,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
g536_safe_opp_00000168,maze-32-32-4|100|151|500|0,maze-32-32-4|100|151|500,maze-32-32-4,maze,100,151,500,0,repair5g59_light_cong_light_flow,other_flow,G5.35_lexicographic_labels_from_G5.34_G5.35_real_solver_rows,F_both_fail,,0,False,False,False,False,False,False,False,3,1,1,0.75,0.75,0.98,1,0.25,0.5,False,1,11,True,False,False,False,False,False,False,False,False,False,False,False,False,warehouse_wait_conservative_or_no_solution
