region_id,candidate_id,map_family,budget_ms,agents,region_status,safe_region,useful_safe_region,best_deployable_static_fallback,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g539_s1_000|maze|2000|50,repair5g539_s1_000,maze,2000,50,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,0,3,0.00684931506667,0,0.00684931506667,0.00684931506667,0.00684931506667,0,2,1,0,0,3,0,0,0,3,0.01861608711,0,0.01861608711,0.01861608711,0.01861608711,0,2,1,0,0,False,False,False,False,False
repair5g539_s1_000|random|2000|100,repair5g539_s1_000,random,2000,100,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,False,False,False,False,False
repair5g539_s1_001|maze|2000|50,repair5g539_s1_001,maze,2000,50,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,0,3,-0.000702493853333,0,-0.000702493853333,-0.000702493853333,-0.000702493853333,0,3,0,0,1,3,0,0,0,3,0.01106427819,0,0.01106427819,0.01106427819,0.01106427819,0,2,1,0,0,False,False,False,False,False
repair5g539_s1_002|maze|2000|50,repair5g539_s1_002,maze,2000,50,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,0,3,-0.00105374078,0,-0.00105374078,-0.00105374078,-0.00105374078,0,3,0,0,1,3,0,0,0,3,0.0107130312633,0,0.0107130312633,0.0107130312633,0.0107130312633,0,2,1,0,0,False,False,False,False,False
repair5g539_s1_002|random|2000|100,repair5g539_s1_002,random,2000,100,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,False,False,False,False,False
repair5g539_s1_003|maze|2000|50,repair5g539_s1_003,maze,2000,50,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,0,3,0.00597119775,0,0.00597119775,0.00597119775,0.00597119775,0,2,1,0,0,3,0,0,0,3,0.0177379697933,0,0.0177379697933,0.0177379697933,0.0177379697933,0,2,1,0,0,False,False,False,False,False
repair5g539_s1_003|random|2000|100,repair5g539_s1_003,random,2000,100,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,False,False,False,False,False
repair5g539_s2_080|maze|2000|50,repair5g539_s2_080,maze,2000,50,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,0,3,0.00245872848333,0,0.00245872848333,0.00245872848333,0.00245872848333,0,2,1,0,0,3,0,0,0,3,0.0142255005267,0,0.0142255005267,0.0142255005267,0.0142255005267,0,2,1,0,0,False,False,False,False,False
repair5g539_s2_080|random|2000|100,repair5g539_s2_080,random,2000,100,safe_no_quality_gain,True,False,static_flow_shield,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,False,False,False,False,False
repair5g539_s2_081|maze|2000|50,repair5g539_s2_081,maze,2000,50,useful_safe,True,True,static_flow_shield,3,0,0,0,3,-0.00316122234,0,-0.00316122234,-0.00316122234,-0.00316122234,1,2,0,1,0,3,0,0,0,3,0.00860554970333,0,0.00860554970333,0.00860554970333,0.00860554970333,0,2,1,0,0,False,False,False,False,False
