row_type,eval_scope,fold_id,policy,normalized_context_key,map,agents,seed,iteration,traffic_before_hash_full,selected_candidate_id,selected_candidate_family,selected_candidate_source,is_new_candidate,selection_reason,predicted_delta,predicted_harmful_risk,predicted_margin,predicted_best_candidate_id,mean_delta_vs_static,mean_delta_vs_additive,harmful_vs_static,helpful_vs_static,old14_oracle_regret_primary,new22_oracle_regret_primary,oracle_candidate_old14_for_context,oracle_candidate_new22_for_context,is_old14_oracle_winner,is_new22_oracle_winner
context_decision,seed_oof,holdout_seed_146,oracle_old14_upper_bound,maze-32-32-4|a50|s146|it0|14650fb0739d0383,maze-32-32-4,50,146,0,14650fb0739d0383,repair5g59_slow_decay_high_shield,flow_decay,old14,False,fixed_or_train_prior,,,,,-0.02238046796,-0.04628687691,0.0,1.0,0.0,0.0,repair5g59_slow_decay_high_shield,repair5g59_slow_decay_high_shield,True,True
context_decision,seed_oof,holdout_seed_146,oracle_old14_upper_bound,random-32-32-20|a100|s146|it0|14650fb0739d0383,random-32-32-20,100,146,0,14650fb0739d0383,repair5g59_low_beta_high_cap,low_beta_high_cap,old14,False,fixed_or_train_prior,,,,,-0.02626641651,-0.12992495309,0.0,1.0,0.0,0.0,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,True,True
context_decision,seed_oof,holdout_seed_146,oracle_old14_upper_bound,random-32-32-20|a50|s146|it0|14650fb0739d0383,random-32-32-20,50,146,0,14650fb0739d0383,repair5g59_low_beta_high_cap,low_beta_high_cap,old14,False,fixed_or_train_prior,,,,,-0.03115871471,-0.18889970789,0.0,1.0,0.0,0.00389483933,repair5g59_low_beta_high_cap,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,True,False
context_decision,seed_oof,holdout_seed_146,oracle_old14_upper_bound,warehouse-10-20-10-2-1|a100|s146|it0|14650fb0739d0383,warehouse-10-20-10-2-1,100,146,0,14650fb0739d0383,repair5g59_additive_fallback,additive,old14,False,fixed_or_train_prior,,,,,inf,,1.0,0.0,,,,,False,False
context_decision,seed_oof,holdout_seed_146,oracle_old14_upper_bound,warehouse-10-20-10-2-1|a50|s146|it0|14650fb0739d0383,warehouse-10-20-10-2-1,50,146,0,14650fb0739d0383,repair5g59_additive_fallback,additive,old14,False,fixed_or_train_prior,,,,,inf,0.0,1.0,0.0,0.0,0.0,repair5g59_additive_fallback,repair5g59_additive_fallback,True,True
context_decision,seed_oof,holdout_seed_146,oracle_new22_upper_bound,maze-32-32-4|a100|s146|it0|14650fb0739d0383,maze-32-32-4,100,146,0,14650fb0739d0383,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,g518_new,True,fixed_or_train_prior,,,,,-0.03069507864,-0.14028411973,0.0,1.0,0.0,0.0,repair5g59_wait_conservative,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,False,True
context_decision,seed_oof,holdout_seed_146,oracle_new22_upper_bound,maze-32-32-4|a50|s146|it0|14650fb0739d0383,maze-32-32-4,50,146,0,14650fb0739d0383,repair5g59_slow_decay_high_shield,flow_decay,old14,False,fixed_or_train_prior,,,,,-0.02238046796,-0.04628687691,0.0,1.0,0.0,0.0,repair5g59_slow_decay_high_shield,repair5g59_slow_decay_high_shield,True,True
context_decision,seed_oof,holdout_seed_146,oracle_new22_upper_bound,random-32-32-20|a100|s146|it0|14650fb0739d0383,random-32-32-20,100,146,0,14650fb0739d0383,repair5g59_low_beta_high_cap,low_beta_high_cap,old14,False,fixed_or_train_prior,,,,,-0.02626641651,-0.12992495309,0.0,1.0,0.0,0.0,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,True,True
context_decision,seed_oof,holdout_seed_146,oracle_new22_upper_bound,random-32-32-20|a50|s146|it0|14650fb0739d0383,random-32-32-20,50,146,0,14650fb0739d0383,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,g518_new,True,fixed_or_train_prior,,,,,-0.03505355404,-0.19279454722,0.0,1.0,-0.00389483933,0.0,repair5g59_low_beta_high_cap,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,False,True
context_decision,seed_oof,holdout_seed_146,oracle_new22_upper_bound,warehouse-10-20-10-2-1|a100|s146|it0|14650fb0739d0383,warehouse-10-20-10-2-1,100,146,0,14650fb0739d0383,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,g518_new,True,fixed_or_train_prior,,,,,inf,,1.0,0.0,,,,,False,False
