map,agents,seed,scen,baseline_method,contender_method,baseline_success,contender_success,baseline_ratio,contender_ratio,delta_ratio,contender_better
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,always_additive_defer,True,True,1.15109170306,1.15109170306,0.0,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.15109170306,1.1807860262,0.02969432313999998,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.15109170306,1.15589519651,0.004803493449999863,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.15109170306,1.18122270742,0.030131004359999825,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.15109170306,1.15109170306,0.0,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.15109170306,1.15109170306,0.0,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.15109170306,1.14934497817,-0.001746724890000051,True
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.15109170306,1.15109170306,0.0,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.15109170306,1.15109170306,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.13998970664,1.13278435409,-0.007205352549999988,True
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.13998970664,1.11991765311,-0.020072053530000078,True
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.1293508937,1.1293508937,0.0,False
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.1293508937,1.12746942615,-0.001881467550000071,True
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.1293508937,1.12276575729,-0.006585136410000025,True
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.1293508937,1.14252116651,0.013170272809999828,False
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.1293508937,1.1293508937,0.0,False
