normalized_context_key,short_budget_ms,candidate_rows,target_oracle_candidate,target_oracle_region,target_has_safe_g522_positive,target_has_candidate_induced_no_solution,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a50|s146|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s146|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383,1000,30,repair5g59_slow_decay_high_shield,old14,False,False,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383,2000,30,repair5g59_slow_decay_high_shield,old14,False,False,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383,1000,30,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383,2000,30,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s149|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s149|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s150|it0|14650fb0739d0383,1000,30,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s150|it0|14650fb0739d0383,2000,30,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s151|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s151|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s152|it0|14650fb0739d0383,1000,30,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s152|it0|14650fb0739d0383,2000,30,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s153|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p00_b1p35_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p80_c0,B_static_recovery_feasibility,True,False,False,False,False,False,False
maze-32-32-4|a50|s153|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p00_b1p35_f1p00_w0p40_dc0p92_df0p98_beta0p35_max0p80_c0,B_static_recovery_feasibility,True,False,False,False,False,False,False
maze-32-32-4|a50|s154|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p14_b1p46_f0p83_w0p73_dc0p90_df1p00_beta0p34_max0p94_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s154|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p14_b1p46_f0p83_w0p73_dc0p90_df1p00_beta0p34_max0p94_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s155|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a50|s155|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p55_max0p90_c0,C_risk_boundary,True,True,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p20_b1p55_f1p05_w0p75_dc0p90_df0p95_beta0p55_max0p90_c0,C_risk_boundary,True,False,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,30,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,D_fractional_coverage,True,True,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,30,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,D_fractional_coverage,True,True,False,False,False,False,False
random-32-32-20|a50|s146|it0|14650fb0739d0383,1000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
random-32-32-20|a50|s146|it0|14650fb0739d0383,2000,30,repair5g522_grid_c1p22_b1p29_f0p78_w0p75_dc0p94_df0p94_beta0p25_max0p92_c0,D_fractional_coverage,True,False,False,False,False,False,False
random-32-32-20|a50|s147|it0|14650fb0739d0383,1000,30,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,D_fractional_coverage,False,False,False,False,False,False,False
random-32-32-20|a50|s147|it0|14650fb0739d0383,2000,30,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,D_fractional_coverage,False,False,False,False,False,False,False
